3647746	3725074	0	9
3726765	3870902	0	14
3875380	4069211	0	37
4080421	4222074	0	17
4224750	4419837	1	16
4420007	4533473	1	26
4537119	4674695	0	16
4675353	4774028	1	13
4775605	5038191	0	39
5042678	5075177	0	5
5080350	5208463	0	8
5217407	5295027	0	11
5295173	5392325	0	16
5397792	5524828	0	38
5528510	5609857	1	14
5611761	5705926	0	14
5706776	5794372	1	10
5807026	5946916	0	13
5966090	6204709	1	31
6205785	6258108	0	15
6260313	6314732	1	4
6327335	6441023	0	17
6454137	6497566	0	9
6498857	6615630	1	16
6617993	6711252	1	32
6715085	6944955	3	21
6950321	7039734	0	18
7040925	7085206	0	6
7093018	7181548	1	15
7181909	7269702	0	14
7271021	7382554	1	16
7393049	7630386	1	25
7631034	7759707	1	45
7774578	7792382	0	4
7792689	7872690	0	11
7891874	7991678	0	11
7995146	8164896	2	32
8166653	8186389	0	7
8205663	8244539	0	6
8252577	8393370	0	4
8415638	8417721	0	1
8420957	8533764	2	20
8540046	8708113	2	23
8710339	8893264	1	24
8905555	9047829	0	16
9047902	9210407	2	35
9211649	9245589	0	9
9249714	9311530	0	8
9318323	9449277	1	14
9458611	9566694	0	13
9567371	9682950	0	10
9685279	9837056	0	14
9838037	9894286	0	8
9895401	9941148	0	16
9942146	10217580	3	23
10221144	10432983	6	49
10435102	10589044	6	28
10590798	10726531	3	19
10728551	10836278	0	6
10842011	10885527	0	12
10891078	11103769	7	30
11108142	11286341	14	43
11292812	11377954	1	21
11381669	11523230	0	31
11531607	11713952	5	30
11727662	11777097	4	10
11784133	11882041	0	4
11882054	11953781	1	11
11955989	12010121	1	10
12012472	12333836	5	36
12334451	12455257	5	28
12455302	12500679	0	3
12502208	12632132	1	7
12634421	12713840	3	15
12717213	12831047	6	13
12836263	12875374	1	11
12875759	12980795	4	16
12982843	13082578	1	10
13086688	13149346	0	10
13149879	13295075	4	18
13295344	13331983	2	13
13338037	13429795	2	15
13431778	13591765	4	29
13596756	13715250	0	9
13735610	13821554	3	9
13825861	14015339	2	11
14017312	14274596	9	29
14275198	14325927	2	11
14326603	14406296	2	17
14417190	14474783	2	7
14476433	14600011	2	21
14600226	14660454	1	12
14660883	14728546	0	6
14730905	14816824	6	41
14817158	14857235	0	3
14865802	14995595	1	26
14997766	15051165	0	3
15072021	15254516	3	18
15256864	15365264	1	25
15368731	15469602	2	15
15471110	15515837	0	5
15516949	15732937	3	26
15754552	15871680	2	13
15877569	16094765	6	47
16110029	16203762	0	24
16209993	16228254	0	1
16237627	16304458	1	11
16306764	16479107	2	17
16481534	16728593	7	18
16751844	16986096	2	5
17006326	17067041	3	14
17070581	17120923	0	9
17121328	17295381	6	34
17297700	17442088	1	25
17446205	17513522	0	16
17517367	17759853	1	17
17763914	17859821	3	27
17859925	17970406	2	13
17973656	18084783	1	12
18086226	18155150	2	22
18156319	18363760	3	12
18366271	18441811	1	15
18444352	18534577	3	10
18536268	18561107	0	5
18580991	18670036	1	15
18698138	18795865	0	9
18796842	18923967	0	17
18925271	19274074	13	36
19274638	19390517	0	8
19395038	19534053	0	14
19536742	19632380	0	9
19636871	19689279	0	14
19690028	19764297	0	5
19765623	19850685	0	9
19857799	19899506	0	1
19924157	20029838	0	12
20030911	20067219	0	4
20073647	20236935	2	34
20239300	20323834	1	12
20333557	20583455	2	25
20585364	20708262	0	13
20711698	20749204	0	12
20751818	20846969	0	12
20847407	20896524	2	10
20896837	20980101	1	21
20980958	21047859	0	20
21057427	21224632	3	39
21227511	21263118	0	3
21267646	21365134	1	21
21366433	21413719	0	12
21418138	21568766	0	14
21575051	21756977	3	16
21762447	21911802	0	5
21913501	22085577	0	34
22093345	22144036	0	4
22164872	22295032	0	13
22298518	22322772	2	7
22325527	22400500	0	7
22419266	22635889	1	11
22643392	22711003	0	10
22711065	22787106	0	20
22828439	22861075	0	2
22865711	22946193	0	11
22947811	23046442	0	16
23057031	23085444	0	6
23086361	23149735	0	11
23153580	23475825	0	25
